user_id,film_id,rating
365,734,5
293,1536,4
107,710,4
218,416,3
34,862,4
493,203,5
483,633,5
146,951,3
387,626,5
107,523,5
218,1166,4
252,9,4
68,224,3
256,1270,4
486,826,3
17,184,2
423,1327,4
146,429,3
198,1500,5
415,398,3
141,924,2
487,448,4
250,175,3
312,334,3
362,862,3
188,375,3
430,1502,3
126,336,4
496,1616,4
186,350,5
224,1482,5
240,1310,3
296,594,2
98,1608,5
204,1121,5
17,746,3
288,750,4
334,999,3
89,73,4
235,1053,5
141,807,3
24,298,4
54,871,3
217,72,4
362,1152,4
362,1579,3
101,603,5
474,1237,5
141,926,2
68,116,5
35,143,3
430,1561,4
350,379,4
305,1531,2
34,1607,2
382,1057,5
362,916,5
262,1272,5
19,1297,5
158,646,4
469,858,4
5,76,3
452,1179,4
179,46,5
486,1475,4
218,361,3
379,214,4
20,1286,1
71,144,4
175,1341,4
240,861,2
256,1066,3
367,173,3
388,256,4
151,1188,4
300,296,3
24,1303,3
484,1500,3
53,835,4
204,948,4
456,1466,4
296,359,3
256,1241,4
171,581,3
235,587,5
384,769,4
362,1094,5
264,705,4
178,250,4
198,305,4
474,1602,4
486,1035,4
150,463,3
174,257,5
54,516,3
282,956,3
106,1316,2
240,1495,3
391,1164,4
4,65,4
486,678,4
430,1337,5
496,1538,3
240,1448,1
53,118,3
487,846,4
458,1607,3
387,392,4
158,980,5
22,1486,4
127,892,2
486,1010,3
452,1196,4
495,860,3
283,1276,3
60,439,4
294,1499,5
492,654,3
92,268,4
312,789,2
210,715,1
379,296,4
312,1123,4
244,1411,3
469,1098,3
209,783,4
382,340,4
273,1411,5
321,1342,2
486,1450,2
45,392,4
152,258,3
380,1239,4
63,1395,2
379,327,4
89,235,3
142,424,5
379,513,5
245,1378,3
232,559,3
51,575,2
334,1212,4
411,1494,4
335,1099,5
240,614,1
171,753,3
411,1583,4
218,1339,3
409,1093,3
486,114,3
354,1175,3
294,1346,3
24,1375,4
453,1536,3
478,1099,3
42,1242,4
369,851,4
204,866,4
296,349,3
18,720,5
20,1218,3
438,1167,5
233,346,3
384,736,5
451,109,1
123,167,3
256,1265,3
244,1402,3
409,235,3
485,375,4
19,1562,4
68,163,1
405,951,3
362,770,2
198,625,3
334,1356,3
54,1353,3
471,1501,4
353,161,4
410,358,1
18,1053,4
146,274,4
171,782,1
209,572,3
379,708,4
146,608,3
158,1197,5
493,226,4
218,1185,4
365,879,5
232,578,3
448,490,4
112,943,4
371,1241,4
430,1432,4
355,769,3
175,371,3
141,210,4
445,844,3
246,31,5
430,671,4
74,479,2
490,406,3
305,880,4
175,1361,3
375,410,1
493,704,5
240,1477,3
208,371,4
334,1568,4
379,620,3
362,740,3
369,862,4
354,1084,4
362,876,4
66,1007,4
334,1173,4
218,1125,2
244,1470,4
86,1453,4
71,18,3
382,263,4
179,546,4
493,538,5
24,1219,2
454,511,5
196,1535,4
256,1187,5
312,1294,3
101,1499,5
101,1412,5
91,1354,4
334,454,2
419,161,4
354,920,4
101,1468,3
362,813,4
156,605,5
392,1063,2
423,1469,4
276,1206,4
256,1401,4
320,881,4
146,970,4
264,637,5
446,124,5
428,540,4
168,555,5
198,358,4
365,626,4
486,154,2
38,705,3
184,1354,4
60,1123,5
141,1500,4
124,515,3
246,1141,4
496,1558,4
74,921,4
495,778,2
218,11,4
218,6,4
218,654,5
495,168,3
487,565,2
174,566,5
45,141,2
334,765,4
218,927,3
334,1243,4
160,440,4
3,875,3
232,320,2
312,503,3
258,1049,4
218,411,4
218,1074,4
218,464,2
72,309,3
484,552,4
316,269,5
387,922,5
218,109,4
38,801,4
227,432,4
89,139,3
312,135,4
107,957,3
82,732,4
308,574,3
172,625,3
347,571,2
251,648,1
283,1318,5
256,538,5
496,784,3
145,152,2
201,1107,5
248,435,4
423,1104,4
493,979,4
151,1197,4
334,343,4
392,734,3
379,33,3
134,988,4
362,343,3
383,444,4
496,577,4
80,1535,5
219,538,5
486,490,3
426,1158,2
453,975,4
109,297,4
291,386,5
249,1097,4
240,774,1
305,1203,4
146,671,4
493,205,4
237,377,3
384,1164,3
240,423,1
485,669,5
158,1204,3
106,1150,4
283,1419,2
496,817,1
106,71,3
310,233,2
49,863,5
54,238,3
469,218,3
240,1434,4
277,1441,4
152,641,4
412,392,5
362,705,3
224,536,4
141,1000,2
379,939,2
486,137,2
384,569,4
379,325,2
340,648,4
246,632,3
386,1190,4
255,1458,4
200,1606,4
166,670,4
33,80,5
430,1253,4
490,662,5
17,565,3
256,1389,4
487,572,3
423,478,4
329,846,5
420,1272,4
411,1331,4
452,1150,3
112,1001,3
232,1310,5
415,218,3
60,833,4
495,797,5
474,1599,5
240,1115,3
124,198,5
218,31,4
232,791,2
415,436,1
54,1361,3
273,686,5
57,169,1
307,1241,5
353,23,2
40,1616,3
450,988,3
297,1118,2
495,817,2
334,964,3
485,279,5
223,1393,3
246,1378,5
362,564,3
198,1480,4
330,469,5
305,1193,2
218,926,4
178,543,4
174,1122,1
379,542,3
157,356,1
95,53,2
362,808,1
0,781,5
474,1593,5
456,1522,4
232,509,4
141,1414,4
106,704,4
160,712,4
411,1572,4
45,318,5
171,155,2
137,950,4
384,1062,3
260,1551,3
207,44,3
111,1156,2
86,1383,5
469,1025,2
394,1470,4
490,288,4
198,1424,3
71,794,5
16,1377,4
397,1128,5
486,877,3
366,1181,3
363,774,4
300,351,5
264,207,4
16,1430,3
244,1354,3
486,1585,3
495,623,3
146,404,4
